In time 0:	1300 flows created	1300 flows accepted	0 flows refused	0 flows deleted	15074 in switches	
In time 54:	1300 flows created	0 flows accepted	1300 flows refused	0 flows deleted	33395 in switches	
In time 55:	1272 flows created	0 flows accepted	1272 flows refused	0 flows deleted	33395 in switches	
In time 56:	1272 flows created	0 flows accepted	1272 flows refused	0 flows deleted	33395 in switches	
In time 57:	1287 flows created	0 flows accepted	1287 flows refused	0 flows deleted	33395 in switches	
In time 58:	1299 flows created	0 flows accepted	1299 flows refused	0 flows deleted	33395 in switches	
In time 59:	1242 flows created	0 flows accepted	1242 flows refused	0 flows deleted	33395 in switches	
In time 60:	1257 flows created	0 flows accepted	1257 flows refused	0 flows deleted	33395 in switches	
In time 61:	1284 flows created	0 flows accepted	1284 flows refused	0 flows deleted	33395 in switches	
In time 62:	1223 flows created	0 flows accepted	1223 flows refused	0 flows deleted	33395 in switches	
In time 63:	1245 flows created	0 flows accepted	1245 flows refused	0 flows deleted	33395 in switches	
In time 64:	1289 flows created	0 flows accepted	1289 flows refused	0 flows deleted	33395 in switches	
In time 65:	1287 flows created	0 flows accepted	1287 flows refused	0 flows deleted	33395 in switches	
In time 66:	1302 flows created	0 flows accepted	1302 flows refused	0 flows deleted	33395 in switches	
In time 67:	1261 flows created	0 flows accepted	1261 flows refused	0 flows deleted	33395 in switches	
In time 68:	1274 flows created	0 flows accepted	1274 flows refused	0 flows deleted	33395 in switches	
In time 69:	1236 flows created	0 flows accepted	1236 flows refused	0 flows deleted	33395 in switches	
In time 70:	1292 flows created	0 flows accepted	1292 flows refused	0 flows deleted	33395 in switches	
In time 71:	1251 flows created	0 flows accepted	1251 flows refused	0 flows deleted	33395 in switches	
In time 72:	1274 flows created	0 flows accepted	1274 flows refused	0 flows deleted	33395 in switches	
In time 73:	1250 flows created	0 flows accepted	1250 flows refused	0 flows deleted	33395 in switches	
In time 74:	1253 flows created	0 flows accepted	1253 flows refused	0 flows deleted	33395 in switches	
