In time 0:	1232 flows created	1232 flows accepted	0 flows refused	0 flows deleted	20850 in switches	
In time 50:	1229 flows created	9 flows accepted	1220 flows refused	0 flows deleted	45814 in switches	
In time 51:	1232 flows created	16 flows accepted	1216 flows refused	0 flows deleted	45881 in switches	
In time 52:	1243 flows created	20 flows accepted	1223 flows refused	0 flows deleted	45950 in switches	
In time 53:	1229 flows created	8 flows accepted	1221 flows refused	0 flows deleted	45981 in switches	
In time 54:	1228 flows created	14 flows accepted	1214 flows refused	0 flows deleted	46060 in switches	
In time 55:	1243 flows created	15 flows accepted	1228 flows refused	0 flows deleted	46127 in switches	
In time 56:	1235 flows created	12 flows accepted	1223 flows refused	0 flows deleted	46172 in switches	
In time 57:	1238 flows created	15 flows accepted	1223 flows refused	0 flows deleted	46246 in switches	
In time 58:	1231 flows created	9 flows accepted	1222 flows refused	0 flows deleted	46294 in switches	
In time 59:	1228 flows created	16 flows accepted	1212 flows refused	0 flows deleted	46359 in switches	
In time 60:	1225 flows created	12 flows accepted	1213 flows refused	0 flows deleted	46438 in switches	
In time 61:	1233 flows created	15 flows accepted	1218 flows refused	0 flows deleted	46516 in switches	
In time 62:	1236 flows created	13 flows accepted	1223 flows refused	0 flows deleted	46569 in switches	
In time 63:	1230 flows created	15 flows accepted	1215 flows refused	0 flows deleted	46632 in switches	
In time 64:	1228 flows created	15 flows accepted	1213 flows refused	0 flows deleted	46714 in switches	
In time 65:	1240 flows created	16 flows accepted	1224 flows refused	0 flows deleted	46783 in switches	
In time 66:	1234 flows created	11 flows accepted	1223 flows refused	0 flows deleted	46842 in switches	
In time 67:	1226 flows created	16 flows accepted	1210 flows refused	0 flows deleted	46938 in switches	
In time 68:	1229 flows created	17 flows accepted	1212 flows refused	0 flows deleted	47027 in switches	
In time 69:	1237 flows created	11 flows accepted	1226 flows refused	0 flows deleted	47075 in switches	
In time 70:	1229 flows created	3 flows accepted	1226 flows refused	0 flows deleted	47083 in switches	
In time 71:	1229 flows created	16 flows accepted	1213 flows refused	0 flows deleted	47154 in switches	
In time 72:	1238 flows created	16 flows accepted	1222 flows refused	0 flows deleted	47245 in switches	
In time 73:	1238 flows created	22 flows accepted	1216 flows refused	0 flows deleted	47360 in switches	
In time 74:	1234 flows created	8 flows accepted	1226 flows refused	0 flows deleted	47394 in switches	
In time 75:	1231 flows created	16 flows accepted	1215 flows refused	0 flows deleted	47443 in switches	
In time 76:	1236 flows created	12 flows accepted	1224 flows refused	0 flows deleted	47495 in switches	
In time 77:	1230 flows created	8 flows accepted	1222 flows refused	0 flows deleted	47539 in switches	
In time 78:	1234 flows created	10 flows accepted	1224 flows refused	0 flows deleted	47574 in switches	
In time 79:	1233 flows created	13 flows accepted	1220 flows refused	0 flows deleted	47633 in switches	
In time 80:	1238 flows created	12 flows accepted	1226 flows refused	0 flows deleted	47691 in switches	
In time 81:	169 flows created	1 flows accepted	168 flows refused	0 flows deleted	47694 in switches	

Control message is 47694
